{'pid': 3360, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 3488, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 3560, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'taskhostw.exe'}
{'pid': 3596, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 3640, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 3648, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 3660, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 3700, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 3708, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 3732, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 3868, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'sihost.exe'}
{'pid': 3876, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'UserOOBEBroker.exe'}
{'pid': 3896, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'svchost.exe'}
{'pid': 3904, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'svchost.exe'}
{'pid': 3952, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'PresentationFontCache.exe'}
{'pid': 3988, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'svchost.exe'}
{'pid': 4044, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 4180, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 4188, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 4200, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
